ID,Name,Lat,Lon
1,Fresno/F.S.U. USDA,36.814444,-119.73167
2,FivePoints,36.336222,-120.11291
3,Beach /Santa Cruz CO,36.880556,-121.79333
4,Webb /Santa Cruz CO,36.9725,-121.72611
5,Shafter,35.532556,-119.28179
6,Davis,38.535694,-121.77636
7,Firebaugh/Telles,36.851222,-120.59092
8,Gerber,40.044053,-122.16551
9,Lamont,35.238056,-118.89444
10,Bakersfield/Greenlee,35.077083,-119.08213
11,Bakersfield/Bonanza,35.160556,-119.18083
12,Durham,39.608639,-121.82443
13,Camino,38.753136,-120.7336
14,Orland,39.739444,-122.17139
15,Stratford,36.157972,-119.85143
16,San Juan,36.904722,-121.70306
17,El Centro,32.846389,-115.44833
18,Westmorland,33.0775,-115.61389
19,Castroville,36.768167,-121.77364
20,Corcoran,36.040278,-119.57278
21,Kettleman,35.86775,-119.8949
22,Caruthers,36.490278,-119.77917
23,King City,36.174444,-121.11722
24,Thermal,33.631111,-116.11194
25,Rancho Mirage,33.764444,-116.42389
26,Lost Hills,35.505278,-119.68972
27,Zamora,38.808758,-121.90754
28,Soledad,36.4475,-121.36417
29,Cantua Creek,36.516389,-120.31444
30,Nicolaus,38.8706,-121.54608
31,McFarland/Kern Farms,35.702722,-119.15355
32,Colusa,39.226861,-122.0248
33,Visalia,36.301056,-119.22453
34,Rancho California,33.488611,-117.19861
35,Bishop,37.358514,-118.40553
36,Blythe,33.654722,-114.55806
37,USDA Salinas,36.620556,-121.54528
38,Santa Maria,34.954444,-120.38417
39,Parlier,36.597444,-119.50404
40,Mendota/MuriettaUSDA,36.683333,-120.38722
41,Calipatria/Mulberry,33.042986,-115.41585
42,Lodi,38.109444,-121.34611
43,McArthur,41.063767,-121.45602
44,U.C. Riverside,33.964942,-117.33698
45,San Diego,32.786667,-117.13528
46,MacDoel,41.792222,-122.06361
47,Brentwood,37.928258,-121.6599
48,Tulelake,42.003333,-121.42667
49,Oceanside,33.255833,-117.31972
50,Thermal,33.646389,-116.24167
51,Healdsburg,38.661906,-122.86946
52,San Luis Obispo,35.305442,-120.66178
53,Greenfield,36.341111,-121.25694
54,Blackwells Corner,35.649861,-119.9593
55,Palm Desert,33.730556,-116.3825
56,Los Banos,37.096694,-120.7539
57,Buntingville,40.289799,-120.433948
58,Santa Paula,34.301667,-119.11889
59,Tehachapi,35.114167,-118.43861
60,Barstow,34.903333,-117.115
61,Orland,39.691822,-122.15351
62,Temecula,33.48665,-117.22827
63,Novato,38.121739,-122.54378
64,Santa Ynez,34.583144,-120.07924
65,Walnut Creek,37.914392,-122.08226
66,San Diego,32.733056,-117.13472
67,Goleta,34.432222,-119.83889
68,Seeley,32.759575,-115.73207
69,San Jose,37.326189,-121.95182
70,Manteca,37.834822,-121.22319
71,Modesto,37.645222,-121.18776
72,Palo Verde,33.3875,-114.7225
73,Hollywood Hills,34.147222,-118.31778
74,Escondido,33.09,-116.98111
75,Irvine,33.68845,-117.72118
76,Betteravia,34.923889,-120.51167
77,Oakville,38.428475,-122.41021
78,Pomona,34.056589,-117.81307
79,Angwin,38.555242,-122.42186
80,Fresno State,36.820833,-119.74231
81,Shenandoah Valley,38.522697,-120.80507
82,Claremont,34.13,-117.69611
83,Santa Rosa,38.40355,-122.79993
84,Browns Valley,39.252561,-121.31567
85,Hopland FS,39.006747,-123.08012
86,Lindcove,36.3605,-119.05935
87,Meloland,32.806183,-115.44626
88,Cuyama,34.942525,-119.6738
89,Salinas South,36.609444,-121.5293
90,Alturas,41.438214,-120.48031
91,Tulelake FS,41.958869,-121.47237
92,Kesterson,37.231861,-120.88082
93,Lamont,35.286667,-118.92861
94,Goleta Foothills,34.471333,-119.86929
95,Watsonville,36.886111,-121.80889
96,Woodside,37.453661,-122.2817
97,Port Hueneme,34.173333,-119.2
98,Ramona,33.049444,-116.93833
99,Santa Monica,34.044311,-118.47689
100,Fremont,37.525853,-121.96758
101,Piru,34.375,-118.78889
102,El Dorado,33.797222,-118.09389
103,Windsor,38.52665,-122.813758
104,De Laveaga,36.997444,-121.99676
105,Westlands,36.634028,-120.38181
106,Sanel Valley,38.982581,-123.08928
107,Santa Barbara,34.437353,-119.73742
108,Gerber Dryland,40.042778,-122.16222
109,Carneros,38.219503,-122.35496
110,Newberry Springs,34.840556,-116.64167
111,Green Valley Road,36.943964,-121.76394
112,San Ardo,36.078889,-120.95778
113,King City-Oasis Rd.,36.121083,-121.08457
114,Arroyo Seco,36.347306,-121.29135
115,Gonzales,36.50975,-121.51597
116,Salinas North,36.716806,-121.69189
117,Victorville,34.475914,-117.26351
118,Cathedral City,33.841292,-116.47873
119,Putah Creek,38.492167,-122.00393
120,Guadalupe,34.962778,-120.54861
121,Dixon,38.415564,-121.78691
122,Hastings Tract,38.283075,-121.7906
123,Suisun Valley,38.233972,-122.11699
124,Panoche,36.890056,-120.73141
125,Arvin-Edison,35.205583,-118.77841
126,San Benito,36.854833,-121.36275
127,Salton Sea West,33.327703,-115.94484
128,Salton Sea East,33.220186,-115.58012
129,Pajaro,36.902778,-121.74193
130,Temecula East,33.556389,-117.03694
131,Fair Oaks,38.649964,-121.21887
132,Morgan Hill,37.151533,-121.63632
133,Glendale,34.196531,-118.2302
134,Barstow NE,34.884267,-116.97986
135,Blythe NE,33.662869,-114.55811
136,Oasis,33.523694,-116.15575
137,Temecula East II,33.558017,-117.03166
138,Famoso,35.603111,-119.21259
139,Winters,38.501258,-121.97853
140,Twitchell Island,38.121739,-121.674455
141,Mecca,33.536894,-115.9928
142,Orange Cove,36.721083,-119.38903
143,San Juan Valley,36.822861,-121.46787
144,Petaluma East,38.266428,-122.61646
145,Madera,37.016528,-120.18639
146,Belridge,35.505833,-119.69114
147,Otay Lake,32.628208,-116.93928
148,Merced,37.314139,-120.3867
149,Oakland Foothills,37.780653,-122.18015
150,Miramar,32.885847,-117.14314
151,Ripley,33.532222,-114.63389
152,Camarillo,34.219386,-118.99244
153,Escondido SPV,33.08105,-116.9757
154,Salton Sea North,33.503889,-115.91556
155,Bryte (experimental),38.599158,-121.54041
156,Oxnard,34.233639,-119.19692
157,Point San Pedro,37.995478,-122.467656
158,Bennett Valley,38.419439,-122.65872
159,Monrovia,34.146372,-117.9858
160,San Luis Obispo West,35.335261,-120.73588
161,Patterson,37.438944,-121.13851
162,Indio,33.746111,-116.25778
163,Atascadero,35.472556,-120.64814
164,Valley of the Moon,38.311144,-122.49866
165,Sisquoc,34.841878,-120.21274
166,Lodi West,38.129933,-121.38659
167,Tracy,37.725881,-121.47552
168,Denair,37.553111,-120.77928
169,Porterville,36.082056,-119.09342
170,Concord,38.015372,-122.02028
171,Union City,37.598758,-122.05323
172,Lost Hills NW,35.733222,-119.74255
173,Torrey Pines,32.901867,-117.25046
174,Long Beach,33.798697,-118.09479
175,Palo Verde II,33.383697,-114.71921
176,La Quinta,33.685556,-116.30556
177,Watsonville West,36.9,-121.81311
178,Moraga,37.837614,-122.14074
179,Winchester,33.663325,-117.09338
180,Westmorland West,33.124167,-115.80333
181,Westmorland North,33.078611,-115.66056
182,Delano,35.833,-119.25596
183,Owens Lake North,36.488611,-117.91944
184,San Diego II,32.729578,-117.13934
185,UC-Mex,32.411111,-115.19722
186,UC-San Luis,32.492658,-114.82616
187,Black Point,38.090933,-122.5267
188,Madera II,37.02,-120.15
189,Owens Lake South,36.358628,-117.94387
190,Five Points South West,36.382028,-120.22985
191,Pleasanton,37.663969,-121.88503
192,Lake Arrowhead,34.255942,-117.21814
193,Pacific Grove,36.633222,-121.93486
194,Oakdale,37.727194,-120.85086
195,Auburn,38.887603,-121.10291
196,Esparto,38.691786,-122.01381
197,Palmdale,34.614981,-118.03249
198,Santa Paula,34.324639,-119.10488
199,Big Bear Lake,34.237419,-116.86571
200,Indio 2,33.748586,-116.2529
201,UC-Andrade,32.674353,-115.04438
202,Nipomo,35.028281,-120.56003
203,Alpaugh,35.862583,-119.50357
204,Santa Clarita,34.426361,-118.51758
205,Coalinga,36.175833,-120.36027
206,Denair II,37.545869,-120.75453
207,Borrego Springs,33.268447,-116.36505
208,La Quinta II,33.678186,-116.27299
209,Watsonville West II,36.913083,-121.82365
210,Carmel,36.540889,-121.88196
211,Gilroy,37.015026,-121.53704
212,Hastings Tract East,38.278056,-121.74111
213,El Cerrito,37.931539,-122.302714
214,Salinas South II,36.625619,-121.537889
215,Chatsworth,34.291331,-118.57004
216,Arleta,34.256111,-118.38278
217,Moorpark,34.269031,-118.849319
218,Thermal South,33.595694,-116.15811
219,West Hills,34.214197,-118.64477
220,Palmdale Central,34.592222,-118.1275
221,Cadiz Valley,34.513611,-115.51056
222,Gerber South,40.040006,-122.154539
223,North Hollywood,34.142911,-118.36632
224,Shasta College,40.63,-122.31
225,Scott Valley,41.577778,-122.838125
226,Woodland,38.672722,-121.81172
227,Plymouth,38.508333,-120.79972
228,Diamond Springs,38.636111,-120.79305
229,Laguna Seca,36.570111,-121.7865
230,Santa Barbara II,34.405556,-119.715
231,Lompoc,34.672222,-120.51306
232,Santa Maria II,34.913472,-120.46478
233,Joshua Tree,34.138147,-116.21319
234,Newberry Springs II,34.883472,-116.810247
235,Verona,38.797944,-121.61136
236,Macdoel II,41.802476,-121.996159
237,Temecula East III,33.55281,-117.043302
238,Moreno Valley,33.9,-117.17
239,Hemet,33.664747,-116.955121
240,Perris - Menifee,33.76,-117.2
241,San Clemente,33.4625,-117.586111
242,Staten Island,38.192397,-121.510261
243,Ryde,38.249622,-121.555528
244,Biggs,39.386632,-121.835278
245,Coto de Caza,33.621667,-117.585278
246,Markleeville,38.773409,-119.79193
247,Jersey Island,38.033386,-121.701247
248,Holt,37.932072,-121.396661
249,Ripon,37.755597,-121.266153
250,Williams,39.210667,-122.168889
251,Highland,34.112042,-117.1857
252,Soledad II,36.456728,-121.344388
253,Pescadero,37.255333,-122.3708
254,Oakland Metro,37.718167,-122.197111
255,Chino,33.98535,-117.656528
256,Lancaster,34.759475,-117.991997
257,Ridgecrest,35.661814,-117.640511
258,Lemon Cove,36.376917,-119.037972
259,Ferndale Plain,40.604467,-124.243186
260,Montague,41.798331,-122.463425
261,Gazelle,41.533989,-122.532279
262,Linden,38.065692,-121.071747
263,Smith River,41.894592,-124.165043
264,Sierra Valley Center,39.777452,-120.273609
265,Paso Robles,35.692266,-120.64855
266,Shandon,35.643787,-120.403229
267,Johnstonville,40.364578,-120.559397
268,Nubieber,41.105901,-121.165701
269,Los Banos II,37.108935,-120.797387
270,Tulare COS,36.189399,-119.285207
271,Pauma Valley,33.299583,-116.979719
272,Anderson,40.434911,-122.247425
273,WildHawk,38.479722,-121.314722
276,Cuyama North,34.967222,-119.716389
